# Extracted from
# From  bitsavers.org  bitsavers/components/signetics/_dataBooks/1991_Signetics_Master_Product_Catalog.pdf
PLC18V8225	ZERO POWER-25NS COM UNIV PAL
PLC18V8Z35	ZERO POWER-35NS COM UNIV PAL
PLC415-16	PLD CMOS SEQUENCER TS 16MHZ
PLC42VA-12	CMOS MULTIFUNCTION PLD
PLC16V8,Q	Erasable and OTP PAL®-Type Device
PLC20V8,Q	Erasable and OTP PAL®-Type Device
PLHS501	PLD PROG MACRO LOGIC (32 × 72 × 24
PLS100	PLD LOGIC ARRAY (16 x 48 x 8) TS
PLS101	PLD LOGIC ARRAY (16 x 48 x 8) OC
PLS105	PLD SEQNCR (16 × 48 x 8) TS 14MHZ
PLS105A	PLD SEQNCR (16 × 48 x 8) TS 20MHZ
PLS153	PLD FPLA (18 × 32 × 10) TS P
PLS153A	PLD FPLA (18 × 32 × 10) TS 30NS P
PLS155	PLD SEQNCR (16 x 45 x 12) TS 4- BIT
PLS157	PLD SEQNCR (16 × 45 × 12) TS 6-BIT
PLS159A	PLD SEQNCR (16 × 45 × 12) 18MHZ
PLS167	PLD FPLA (1248 × 6) 14MHZ
PLS167A	PLD FPLA (12 × 48 x 6) 20MHZ
PLS168	PLD FPLS 14HMZ 12 × 48 × 8 300 MIL
PLS168A	PLD FPLS 20MHZ 12 × 48 x 8 300 MIL
PLS173	PLD FPLA 30NS 22 × 42 × 10 300 MIL
PLS179	FIELD PROGRAMMABLE LOGIC SEQUENCER
PLUS105-45	SEQNCR (16 x 48 x 8) 45MHZ 300 MIL
PLUS105-55	SEQNCR (16 × 48 x 8) 55MHZ 300 MIL
PLUS153-10	PLA (18 × 32 × 10) TPD 10NS
PLUS153B	PLD PLA (18 × 32 × 10) TPD 15NS
PLUS153D	PLD PLA (18 × 32 × 10) TPD 12NS
PLUS16L8-7	PLD PAL* STYLE DEVICE
PLUS16L8D	PLD PAL' STYLE DEVICE
PLUS16R4-7	PLD PAL* STYLE DEVICE
PLUS16R4D	PLD PAL' STYLE DEVICE
PLUS16R6-7	PLD PAL' STYLE DEVICE
PLUS16R6D	PLD PAL* STYLE DEVICE
PLUS16R8-7	PLD PAL* STYLE DEVICE
PLUS16R8D	PLD PAL* STYLE DEVICE
PLUS173-10	PLA (22 × 32 × 10) TPD 10NS
PLUS173B	PLD PLA (22 × 32 × 10) TPD 15NS
PLUS173D	PLD PLA (22 × 32 × 10) TPD 12NS
PLUS20L8-7	PLD PAL* STYLE DEVICE
PLUS20L8D	PLD PAL* STYLE DEVICE
PLUS2OR4-7	PLD PAL' STYLE DEVICE
PLUS20R4D	PLD PAL' STYLE DEVICE
PLUS20R6-7	PLD PAL' STYLE DEVICE
PLUS20R6D	PLD PAL* STYLE DEVICE
PLUS20R8-7	PLD PAL' STYLE DEVICE
PLUS20R8D	PLD PAL* STYLE DEVICE
PLUS405-37	PLD SEQNCR (16 × 64 × 8) TS 37MHZ
PLUS405-45	PLD SEQNCR (16 × 64 × 8) TS 45MHZ
PLUS405-55	PLD SEQNCR (16 × 64 x 8) TS 55MHZ
PL22V10-12	E2 UNIV PAL 12NS TPD
PL22V10-15	E2 UNIV PAL 15NS TPD DIL
PML2552-35	CMOS ERAS HI-DENSITY PML TPD 35NS
PML2552-50	CMOS ERAS HI-DENSITY PML TPD 50NS
PMP-51	8051 FAM PROGRAMER SEE PPA-XXX
PNA7509	7-BIT A/D, 22MHZ
PNA7509T	7-BIT A/D, 22MHZ
PNA7518	8-BIT D/A, 20MHZ
PORT	PC PC INTERFACE W/ SOFTWARE
PPA-EPROM	PMP-51 ADAPTER EPROM
PPA-054	PMP-51 ADAPTER 87C054
PPA-451	PMP-51 ADAPTER 87C451
PPA-451A	PMP-51 ADAPTER 87C451
PPA-51X	PMP-51 ADAPTER
PPA-51XA	PMP-51 ADAPTER
PPA-550	PMP-51 ADAPTER 87C550
PPA-550A	PMP-51 ADAPTER 87C550
PPA-552A	PMP-51 ADAPTER 87C552
PPA-592A	PMP-51 ADAPTER 87C592
PPA-751	PMP-51 ADAPTER 87C751
PPA-751A	PMP-51 ADAPTER 87C751
PPA-752	PMP-51 ADAPTER 87C752
PPA-752A	PMP-51 ADAPTER 87C752
P80CL410HF	RMLS/128 1.8-6V 16MHZ
P80C32EBA	ROMLESS/256 16MHZ COM TEM
P80C32EBB	ROMLESS/256 16MHZ COM TEMP
P80C32EBP	ROMLESS/256 16MHZ COM TEMP
P80C32EFA	ROMLESS/256 16MHZ EXT TEM
P80C32EFB	ROMLESS/256 16MHZ EXT TEMP
P80C32EFP	ROMLESS/256 16MHZ EXT TEMP
P80C32GBA	ROMLESS/256 20MHZ COM TEM
P80C32GBB	ROMLESS/256 20MHZ COM TEMP
P80C32GBP	ROMLESS/256 20MHZ COM TEMP
P80C32GFA	ROMLESS/256 20MHZ EXT TEM
P80C32GFB	ROMLESS/256 20MHZ EXT TEMP
P80C32GFP	ROMLESS/256 20MHZ EXT TEMP
P80C52EBA	8K/256 ROM 16MHZ COM TEMP
P80C52EBB	8K/256 ROM 16MHZ COM TEMP
P80C52EBP	8K/256 ROM 16MHZ COM TEMP
P80C52EFA	8K/256 ROM 16MHZ EXT TEMP
P8OC52EFB	8K/256 ROM 16MHZ EXT TEMP
P80C52EFP	8K/256 ROM 16MHZ EXT TEMP
P80C52GBA	8K/256 ROM 20MHZ COM TEMP
P80C52GBB	8K/256 ROM 20MHZ COM TEMP
P80C52GBP	8K/256 ROM 20MHZ COM TEMP
P80C52GFA	8K/256 ROM 20MHZ EXT TEMP
P80C52GFB	8K/256 ROM 20MHZ EXT TEMP
P80C52GFP	8K/256 ROM 20MHZ EXT TEMP
P80C550EBA	ROMLESS/128 A/D 16MHZ COM TEMP
P80C550EBP	ROMLS/128 A/D 16MHZ COM TEMP
P8OC550EFA	ROMLESS/128 A/D 16MHZ EXT TEMP
P80C550EFP	ROMLESS/128 A/D 16MHZ EXT TEMP
P8051DB	8051 FAMILY DEMO BOARD
P8051LCPX	8051 FAMILY PROGRAMMER-24/28/68
P8051LCP40	8051 FAMILY PROGRAMMER
P83CL410HF	4K/128 ROM 16MHZ EXT TEM
P83C053BBP	8K/192 ROM 12MHZ COM TEM
P83C054BBP	16K/192 ROM 12MHZ
P83C550EBA	4K/128 ROM A/D 16MHZ COMM TEMP
P83C550EBP	4K/128 ROM A/D 16MHZ COM TEMP
P83C550EFA	4K/128 ROM A/D 16MHZ EXT TEMP
P83C550EFP	4K/128 ROM A/D 16MHZ EXT TEMP
P85CL000HF	DEVELOPMENT TOOL FOR 83CL410
P87C054BBP	16K/192 OTP 12MHZ
P87C52EBA	8K/256 OTP 16MHZ COM TEMP
P87C52EBB	8K/256 OTP 16MHZ COM TEMP
P87C52EBF	8K/256 EPROM 16MHZ COM TEMP
P87C52EBL	8K/256 EPROM 16MHZ COM TEMP
P87C52EBP	8K/256 OTP 16MHZ COM TEMP
P87C52EFA	8K/256 OTP 16MHZ EXT TEMP
P87C52EFB	8K/256 OTP 16MHZ EXT TEMP
P87C52EFF	8K/256 EPROM 16MHZ EXT TEMP
P87C52EFL	8K/256 EPROM 16MHZ EXT TEMP
P87C52EFP	8K/256 OTP 16MHZ EXT TEMP
P87C52GBA	8K/256 OTP 20MHZ COM TEMP
P87C52GBB	8K/256 OTP 20MHZ COM TEMP
P87C52GBF	8K/256 EPROM 20MHZ COM TEMP
P87C52GBL	8K/256 EPROM 20MHZ COM TEMP
P87C52GBP	8K/256 OTP 20MHZ COM TEMP
P87C52GFA	8K/256 OTP 20MHZ EXT TEMP
P87C52GFB	8K/256 OTP 20MHZ EXT TEMP
P87C52GFF	8K/256 EPROM 20MHZ EXT TEMP
P87C52GFL	8K/256 EPROM 20MHZ EXT TEMP
P87C52GFP	8K/256 OTP 20MHZ EXT TEMP
P87C528EBA	32K/512 OTP 16MHZ COM TEM
P87C528EBF	32K/512 EPROM 16MHZ COM TEMP
P87C528EBL	32K/512 EPROM 16MHZ COM TEMP
P87C528EBP	32K/512 OTP 16MHZ COM TEMP
P87C528EFA	32K/512 OTP 16MHZ EXT TEM
1138290288	32K/512 EPROM 16MHZ EXT TEMP
P87C528EFL	32K/512 EPROM 16MHZ EXT TEMP
P87C528EFP	32K/512 OTP 16MHZ EXT TEMP
P87C528GBA	32K/512 OTP 20MHZ COM TEM
P87C528GBF	32K/512 EPROM 20MHZ COM TEMP
P87C528GBL	32K/512 EPROM 30MHZ COM TEMP
P87C528GBP	32K/512 OTP 20MHZ COM TEMP
P87C528GFA	32K/512 OTP 20MHZ EXT TEM
P87C528GFF	32K/512 EPROM 20MHZ EXT TEMP
P87C528GFL	32K/512 EPROM 20MHZ EXT TEMP
P87C528GFP	32K/512 OTP 20MHZ EXT TEMP
P87C550EBA	4K/128 OTP A/D 16MHZ COM TEMP
P87C550EBF	4K/128 EPROM A/D 16MHZ COM TEM
P87C550EBL	4K/128 EPROM A/D 16MHZ COM TEM
P87C550EBP	4K/128 OTP A/D 16MHZ COM TEMP
P87C550EFA	4K/128 OTP A/D 16MHZ EXT TEMP
P87C550EFF	4K/128 EPROM A/D 16MHZ EXT TEM
P87C550EFL	4K/128 EPROM A/D 16MHZ EXT TEM
P87C550EFP	4K/128 OTP A/D 16MHZ EXT TEMP
P90CDS	90C100 MCO FAMILY DEV SYSTEM
P90C100AB	RMLS/512 68000 MCU 15MHZ 0-70°C
P93C100AB	34K/512 ROM 6800 MUC 15MHZ
SAA1027	STEPPER MOTOR DRIVER
SAA1043P	UNIVERSAL SYNC GENERATOR
SAA10431	UNIVERSAL SYNC GENERATOR
SAA1044P	SUBCARRIER COUPLING
SAA1044T	SUBCARRIER COUPLING I.C.
SAA1057	AM/FM FREQ SYNTHESIZER
SAA1064P	4-BIT LED DRIVER C
SAA1099P	STEREO SOUND SYNTHESIZER
SAA1101P	UNIVERSAL SYNC GEN. 5V
